ID_aula,ID_modalidade,Data_aula,Horario_inicio,Instrutor,Lotacao,Presencas,ID_unidade
55,3,2025-04-10,18:00:00,Dra. Evelyn Gonçalves,15,13,5
56,1,2025-07-06,17:00:00,Otávio Nogueira,15,14,4
57,2,2025-07-07,10:00:00,Sarah Dias,15,6,5
58,2,2025-07-06,10:00:00,Dra. Evelyn Gonçalves,15,7,5
59,1,2025-04-02,18:00:00,Maria Duarte,15,14,1
60,4,2025-06-24,15:00:00,Heitor Teixeira,12,12,1
61,4,2025-04-27,16:00:00,Stella da Mata,12,12,5
62,4,2025-05-23,08:00:00,Joana Silveira,12,9,2
63,2,2025-04-29,07:00:00,Daniela Ferreira,15,14,2
64,1,2025-04-12,07:00:00,Otávio Nogueira,15,15,4
65,1,2025-07-01,15:00:00,Thomas Azevedo,15,6,1
66,4,2025-06-02,17:00:00,Lucca Martins,12,9,3
67,2,2025-05-15,18:00:00,Marcela Melo,15,15,2
68,1,2025-04-03,17:00:00,Agatha Nunes,15,5,1
69,3,2025-07-18,07:00:00,Otávio Nogueira,15,6,4
70,3,2025-06-25,16:00:00,Thomas Azevedo,15,6,4
71,5,2025-06-28,18:00:00,Thomas Azevedo,12,7,2
72,5,2025-04-28,15:00:00,Otávio Nogueira,12,9,1
73,4,2025-04-29,08:00:00,Joana Silveira,12,8,1
74,3,2025-06-12,09:00:00,Emanuella da Cunha,15,6,2
75,1,2025-07-25,10:00:00,Thomas Azevedo,15,14,4
76,4,2025-06-21,10:00:00,Otávio Nogueira,12,7,4
77,3,2025-06-15,07:00:00,Ana Sophia da Costa,15,12,3
78,3,2025-06-25,07:00:00,Maria Duarte,15,8,1
79,2,2025-05-13,09:00:00,Dra. Evelyn Gonçalves,15,10,3
80,1,2025-05-24,08:00:00,Lucca Martins,15,12,2
81,4,2025-07-29,10:00:00,Otávio Nogueira,12,12,2
82,4,2025-05-31,09:00:00,Alice Moreira,12,11,3
83,3,2025-07-10,08:00:00,Heitor Teixeira,15,9,5
84,4,2025-06-23,10:00:00,Thomas Azevedo,12,11,2
85,4,2025-04-12,09:00:00,Ana Sophia da Costa,12,7,4
86,1,2025-04-17,10:00:00,Heitor Costela,15,11,4
87,2,2025-06-02,16:00:00,Stella da Mata,15,15,5
88,2,2025-04-06,08:00:00,Heitor Costela,15,12,1
89,3,2025-04-08,16:00:00,Ana Sophia da Costa,15,8,4
90,3,2025-07-11,07:00:00,Luiz Miguel Caldeira,15,9,4
91,4,2025-06-11,10:00:00,Daniela Ferreira,12,9,4
92,3,2025-07-16,15:00:00,Heitor Teixeira,15,8,2
93,2,2025-06-01,08:00:00,Maria Duarte,15,14,4
94,3,2025-05-22,07:00:00,Luiz Miguel Caldeira,15,13,2
95,1,2025-07-20,16:00:00,Joana Silveira,15,12,1
96,1,2025-04-13,07:00:00,Heitor Costela,15,11,4
97,4,2025-05-26,15:00:00,Luiz Miguel Caldeira,12,11,5
98,3,2025-06-14,09:00:00,Dra. Evelyn Gonçalves,15,14,3
99,1,2025-06-06,08:00:00,João Pinto,15,5,4
100,5,2025-04-13,08:00:00,Otávio Nogueira,12,5,3
101,5,2025-06-23,10:00:00,Ana Sophia da Costa,12,12,5
102,2,2025-07-05,07:00:00,Otávio Nogueira,15,11,2
103,5,2025-07-22,16:00:00,Breno Cardoso,12,12,3
104,3,2025-05-02,10:00:00,Alice Moreira,15,12,3
105,3,2025-04-21,15:00:00,Thomas Azevedo,15,10,5
106,2,2025-04-27,10:00:00,Otávio Nogueira,15,8,5
107,4,2025-06-24,07:00:00,Emanuella da Cunha,12,7,3
108,1,2025-04-12,16:00:00,Heitor Costela,15,12,1
109,5,2025-07-26,18:00:00,Thomas Azevedo,12,12,2
110,2,2025-06-01,10:00:00,Dra. Evelyn Gonçalves,15,13,5
111,1,2025-04-27,15:00:00,Ana Sophia da Costa,15,14,2
112,4,2025-06-17,16:00:00,João Pinto,12,6,5
113,2,2025-04-18,07:00:00,Maria Cecília Martins,15,10,2
114,1,2025-07-02,16:00:00,Breno Cardoso,15,15,1
115,2,2025-04-23,10:00:00,Lucca Martins,15,5,1
116,3,2025-07-08,17:00:00,Emanuella da Cunha,15,10,4
117,4,2025-06-20,18:00:00,Agatha Nunes,12,9,4
118,3,2025-06-30,07:00:00,Daniela Ferreira,15,15,1
119,2,2025-04-11,18:00:00,Stella da Mata,15,12,4
120,4,2025-07-22,10:00:00,Lucca Martins,12,12,3
121,5,2025-06-22,15:00:00,Luiz Miguel Caldeira,12,7,1
122,4,2025-07-07,15:00:00,Breno Cardoso,12,5,5
123,3,2025-05-16,07:00:00,Dra. Evelyn Gonçalves,15,13,4
124,4,2025-07-01,10:00:00,Breno Cardoso,12,9,3
125,5,2025-04-27,08:00:00,Stella da Mata,12,5,2
126,1,2025-04-05,07:00:00,Lucca Martins,15,6,3
127,5,2025-04-13,08:00:00,Marcela Melo,12,12,3
128,4,2025-06-23,15:00:00,Lucca Martins,12,7,2
129,2,2025-05-19,07:00:00,Alice Moreira,15,15,5
130,3,2025-07-14,15:00:00,Otávio Nogueira,15,11,5
131,4,2025-05-31,15:00:00,Agatha Nunes,12,12,3
132,4,2025-05-20,17:00:00,Sarah Dias,12,7,5
133,1,2025-06-28,16:00:00,Agatha Nunes,15,9,5
134,4,2025-04-15,09:00:00,Thomas Azevedo,12,7,3
135,4,2025-05-17,18:00:00,Luiz Miguel Caldeira,12,12,3
136,4,2025-05-12,18:00:00,Heitor Teixeira,12,9,4
137,3,2025-04-26,07:00:00,Thomas Azevedo,15,13,2
138,3,2025-06-02,17:00:00,Stella da Mata,15,6,4
139,3,2025-07-16,18:00:00,Ana Sophia da Costa,15,5,5
140,2,2025-04-17,08:00:00,João Pinto,15,13,2
141,2,2025-07-22,18:00:00,Stella da Mata,15,7,2
142,1,2025-06-18,18:00:00,Dra. Evelyn Gonçalves,15,10,1
143,2,2025-05-10,15:00:00,Heitor Costela,15,7,4
144,4,2025-05-19,18:00:00,Maria Duarte,12,9,1
145,4,2025-07-16,07:00:00,Sarah Dias,12,5,5
146,4,2025-04-17,10:00:00,Lucca Martins,12,12,4
147,3,2025-05-14,07:00:00,Sarah Dias,15,13,2
148,5,2025-04-03,10:00:00,Marcela Melo,12,11,4
149,1,2025-04-06,10:00:00,Maria Cecília Martins,15,5,5
150,3,2025-05-28,07:00:00,Joana Silveira,15,11,3
151,1,2025-05-16,18:00:00,Stella da Mata,15,8,5
152,5,2025-06-13,17:00:00,Lucca Martins,12,11,5
153,4,2025-04-27,08:00:00,Agatha Nunes,12,7,1
154,4,2025-06-11,15:00:00,Stella da Mata,12,8,2
155,1,2025-06-14,07:00:00,Heitor Costela,15,6,1
156,4,2025-07-19,17:00:00,Heitor Costela,12,5,5
157,4,2025-04-22,15:00:00,Thomas Azevedo,12,11,1
158,2,2025-06-03,10:00:00,Joana Silveira,15,7,2
159,3,2025-05-17,18:00:00,Stella da Mata,15,12,5
160,1,2025-07-25,10:00:00,Emanuella da Cunha,15,15,4
161,1,2025-05-16,07:00:00,Maria Cecília Martins,15,7,5
162,5,2025-04-01,17:00:00,Ana Sophia da Costa,12,7,1
163,2,2025-06-05,15:00:00,Heitor Teixeira,15,8,3
164,2,2025-07-17,10:00:00,Daniela Ferreira,15,5,3
165,4,2025-04-15,09:00:00,Otávio Nogueira,12,6,1
166,2,2025-07-13,10:00:00,João Pinto,15,5,2
167,5,2025-07-06,07:00:00,Thomas Azevedo,12,11,5
168,1,2025-06-12,10:00:00,Maria Duarte,15,9,5
169,1,2025-05-02,10:00:00,Daniela Ferreira,15,11,3
170,1,2025-05-24,09:00:00,Stella da Mata,15,5,5
171,2,2025-03-31,16:00:00,Sarah Dias,15,14,1
172,1,2025-05-24,07:00:00,Stella da Mata,15,11,2
173,2,2025-06-22,08:00:00,Joana Silveira,15,11,4
174,3,2025-06-12,10:00:00,Marcela Melo,15,7,3
175,5,2025-04-17,18:00:00,Thomas Azevedo,12,9,5
176,3,2025-04-05,17:00:00,Otávio Nogueira,15,7,5
177,4,2025-04-12,15:00:00,Lucca Martins,12,6,4
178,4,2025-04-06,07:00:00,Maria Duarte,12,11,2
179,3,2025-06-23,16:00:00,Emanuella da Cunha,15,7,1
180,1,2025-04-12,08:00:00,Sarah Dias,15,15,2
181,5,2025-07-20,09:00:00,João Pinto,12,9,4
182,1,2025-06-06,08:00:00,Lucca Martins,15,6,5
183,5,2025-07-07,10:00:00,Lucca Martins,12,6,2
184,3,2025-04-13,09:00:00,Luiz Miguel Caldeira,15,6,3
185,2,2025-06-11,07:00:00,Maria Duarte,15,6,1
186,5,2025-04-17,15:00:00,Daniela Ferreira,12,7,2
187,1,2025-07-11,09:00:00,Ana Sophia da Costa,15,6,3
188,5,2025-07-27,18:00:00,Luiz Miguel Caldeira,12,10,3
189,3,2025-05-09,17:00:00,Joana Silveira,15,10,5
190,4,2025-04-28,15:00:00,Alice Moreira,12,6,3
191,1,2025-07-20,18:00:00,Otávio Nogueira,15,9,2
192,3,2025-07-14,17:00:00,Joana Silveira,15,13,2
193,3,2025-06-22,08:00:00,Agatha Nunes,15,9,1
194,5,2025-06-01,10:00:00,Dra. Evelyn Gonçalves,12,11,2
195,1,2025-05-07,08:00:00,Maria Cecília Martins,15,15,3
196,1,2025-06-22,17:00:00,Emanuella da Cunha,15,14,5
197,4,2025-06-13,17:00:00,Breno Cardoso,12,9,4
198,5,2025-04-21,15:00:00,Breno Cardoso,12,5,4
199,2,2025-05-28,16:00:00,João Pinto,15,9,3
200,5,2025-06-08,10:00:00,Alice Moreira,12,6,5
201,3,2025-04-03,09:00:00,Emanuella da Cunha,15,7,1
202,1,2025-04-14,07:00:00,Sarah Dias,15,5,2
203,5,2025-07-16,10:00:00,Maria Duarte,12,6,5
204,3,2025-04-13,17:00:00,Daniela Ferreira,15,8,4
205,3,2025-07-18,16:00:00,Emanuella da Cunha,15,14,3
206,1,2025-07-02,09:00:00,Maria Cecília Martins,15,8,1
207,3,2025-07-17,08:00:00,Heitor Costela,15,11,3
208,3,2025-06-09,08:00:00,Marcela Melo,15,7,3
209,1,2025-04-11,07:00:00,Emanuella da Cunha,15,6,2
210,2,2025-05-14,18:00:00,Sarah Dias,15,9,1
211,3,2025-06-29,15:00:00,Alice Moreira,15,7,2
212,1,2025-05-28,08:00:00,Ana Sophia da Costa,15,13,1
213,1,2025-05-09,08:00:00,Lucca Martins,15,7,1
214,3,2025-06-13,09:00:00,Ana Sophia da Costa,15,5,1
215,5,2025-04-14,08:00:00,Lucca Martins,12,11,3
216,4,2025-05-04,16:00:00,Emanuella da Cunha,12,11,5
217,2,2025-06-04,15:00:00,Emanuella da Cunha,15,12,5
218,5,2025-04-12,18:00:00,Otávio Nogueira,12,7,4
219,4,2025-05-25,17:00:00,Breno Cardoso,12,7,4
220,1,2025-05-02,07:00:00,Maria Duarte,15,12,5
221,5,2025-06-14,16:00:00,Daniela Ferreira,12,12,4
222,5,2025-04-18,10:00:00,Marcela Melo,12,6,4
223,5,2025-07-11,15:00:00,Marcela Melo,12,7,2
224,1,2025-07-26,18:00:00,Maria Duarte,15,14,2
225,4,2025-04-15,18:00:00,Emanuella da Cunha,12,10,3
226,2,2025-04-25,07:00:00,Lucca Martins,15,14,4
227,2,2025-05-30,10:00:00,Maria Duarte,15,10,5
228,4,2025-04-12,15:00:00,Marcela Melo,12,12,5
229,4,2025-06-02,08:00:00,Luiz Miguel Caldeira,12,9,1
230,5,2025-05-01,09:00:00,Joana Silveira,12,9,1
231,1,2025-04-12,07:00:00,Joana Silveira,15,6,1
232,2,2025-04-30,17:00:00,Ana Sophia da Costa,15,5,3
233,4,2025-04-15,10:00:00,Heitor Costela,12,10,1
234,2,2025-07-30,18:00:00,Maria Cecília Martins,15,15,1
235,5,2025-07-30,15:00:00,Alice Moreira,12,12,2
236,1,2025-05-16,15:00:00,Sarah Dias,15,11,3
237,5,2025-05-11,07:00:00,Heitor Costela,12,7,3
238,1,2025-07-15,17:00:00,Marcela Melo,15,5,5
239,4,2025-06-27,15:00:00,Marcela Melo,12,12,5
240,2,2025-05-10,17:00:00,Thomas Azevedo,15,5,2
241,4,2025-04-03,15:00:00,Otávio Nogueira,12,12,3
242,3,2025-04-08,16:00:00,Daniela Ferreira,15,14,2
243,3,2025-06-14,16:00:00,Thomas Azevedo,15,14,1
244,3,2025-04-07,10:00:00,Daniela Ferreira,15,12,3
245,1,2025-05-15,16:00:00,Breno Cardoso,15,7,5
246,1,2025-05-01,09:00:00,Joana Silveira,15,11,3
247,4,2025-07-07,18:00:00,Maria Cecília Martins,12,12,4
248,2,2025-07-23,09:00:00,Heitor Teixeira,15,9,2
249,3,2025-06-25,18:00:00,Maria Cecília Martins,15,14,2
250,5,2025-07-25,09:00:00,Breno Cardoso,12,11,2
251,1,2025-06-08,07:00:00,Otávio Nogueira,15,7,2
252,3,2025-06-28,10:00:00,Agatha Nunes,15,9,2
253,3,2025-05-14,16:00:00,Agatha Nunes,15,14,2
254,4,2025-06-29,15:00:00,Maria Duarte,12,9,4
255,5,2025-06-28,10:00:00,Luiz Miguel Caldeira,12,12,1
256,2,2025-06-10,08:00:00,João Pinto,15,11,5
257,1,2025-06-23,10:00:00,Dra. Evelyn Gonçalves,15,13,5
258,1,2025-05-27,17:00:00,Maria Duarte,15,10,5
259,5,2025-04-19,08:00:00,Thomas Azevedo,12,9,4
260,1,2025-04-04,18:00:00,João Pinto,15,5,5
261,3,2025-07-15,16:00:00,Agatha Nunes,15,9,1
262,4,2025-07-23,15:00:00,Daniela Ferreira,12,9,5
263,4,2025-05-29,18:00:00,Heitor Teixeira,12,6,5
264,2,2025-06-10,17:00:00,Luiz Miguel Caldeira,15,15,3
265,1,2025-04-26,17:00:00,Joana Silveira,15,12,4
266,2,2025-04-06,09:00:00,Marcela Melo,15,12,5
267,5,2025-07-01,08:00:00,Otávio Nogueira,12,11,4
268,1,2025-04-24,10:00:00,João Pinto,15,6,4
269,3,2025-06-04,08:00:00,Alice Moreira,15,15,3
270,2,2025-07-27,10:00:00,Lucca Martins,15,7,4
271,1,2025-05-22,17:00:00,Stella da Mata,15,7,4
272,4,2025-04-01,18:00:00,Alice Moreira,12,5,1
273,1,2025-05-07,08:00:00,Marcela Melo,15,15,2
274,4,2025-07-05,07:00:00,Alice Moreira,12,10,2
275,3,2025-06-13,10:00:00,Heitor Costela,15,8,3
276,1,2025-05-20,07:00:00,Daniela Ferreira,15,13,2
277,1,2025-07-22,16:00:00,Thomas Azevedo,15,11,2
278,3,2025-05-28,08:00:00,Ana Sophia da Costa,15,6,2
279,2,2025-04-15,08:00:00,Agatha Nunes,15,10,4
280,2,2025-05-07,09:00:00,Sarah Dias,15,14,1
281,4,2025-05-15,07:00:00,Breno Cardoso,12,6,3
282,3,2025-04-04,09:00:00,Stella da Mata,15,8,2
283,4,2025-07-24,07:00:00,Daniela Ferreira,12,5,5
284,3,2025-07-08,07:00:00,Heitor Costela,15,5,4
285,1,2025-05-19,07:00:00,Otávio Nogueira,15,10,5
286,3,2025-06-01,16:00:00,Heitor Teixeira,15,6,5
287,5,2025-06-09,16:00:00,Lucca Martins,12,12,1
288,2,2025-04-30,18:00:00,Stella da Mata,15,6,3
289,1,2025-04-26,09:00:00,Heitor Teixeira,15,10,5
290,3,2025-06-11,17:00:00,Alice Moreira,15,11,3
291,1,2025-06-01,10:00:00,Luiz Miguel Caldeira,15,12,3
292,3,2025-05-26,09:00:00,João Pinto,15,10,3
293,1,2025-07-29,09:00:00,Breno Cardoso,15,12,1
294,2,2025-05-19,17:00:00,Heitor Teixeira,15,15,4
295,1,2025-04-24,15:00:00,Heitor Teixeira,15,10,1
296,2,2025-05-02,15:00:00,João Pinto,15,8,1
297,4,2025-07-07,10:00:00,Daniela Ferreira,12,11,5
298,5,2025-06-05,10:00:00,Heitor Teixeira,12,8,5
299,4,2025-04-13,10:00:00,Alice Moreira,12,9,3
300,4,2025-05-20,08:00:00,Agatha Nunes,12,10,4
301,2,2025-04-17,18:00:00,Ana Sophia da Costa,15,7,4
302,4,2025-05-15,07:00:00,Stella da Mata,12,10,2
303,5,2025-06-15,08:00:00,Agatha Nunes,12,7,5
304,5,2025-05-09,18:00:00,Maria Duarte,12,6,5
305,3,2025-04-28,18:00:00,Maria Cecília Martins,15,11,1
306,2,2025-06-07,18:00:00,Dra. Evelyn Gonçalves,15,5,3
307,1,2025-05-31,10:00:00,Maria Duarte,15,5,5
308,2,2025-07-11,17:00:00,Otávio Nogueira,15,7,2
309,1,2025-06-22,08:00:00,Sarah Dias,15,11,3
310,1,2025-04-21,08:00:00,Stella da Mata,15,13,1
311,4,2025-05-15,18:00:00,Stella da Mata,12,6,2
312,1,2025-05-10,09:00:00,Joana Silveira,15,12,4
313,3,2025-05-06,09:00:00,Dra. Evelyn Gonçalves,15,6,2
314,3,2025-05-11,09:00:00,Maria Duarte,15,12,2
315,5,2025-04-02,07:00:00,Emanuella da Cunha,12,6,2
316,1,2025-06-06,09:00:00,Joana Silveira,15,9,4
317,1,2025-06-22,18:00:00,Maria Cecília Martins,15,11,5
318,4,2025-04-19,18:00:00,João Pinto,12,11,1
319,2,2025-05-14,16:00:00,Maria Duarte,15,14,4
320,4,2025-04-20,08:00:00,Dra. Evelyn Gonçalves,12,9,4
321,2,2025-04-15,09:00:00,Thomas Azevedo,15,13,3
322,1,2025-04-24,15:00:00,Otávio Nogueira,15,7,5
323,2,2025-05-17,18:00:00,Agatha Nunes,15,11,3
324,4,2025-07-04,08:00:00,João Pinto,12,10,5
325,4,2025-04-27,07:00:00,João Pinto,12,8,2
326,3,2025-05-10,07:00:00,Marcela Melo,15,12,5
327,4,2025-06-20,15:00:00,Stella da Mata,12,8,3
328,5,2025-06-30,08:00:00,Daniela Ferreira,12,10,4
329,4,2025-07-29,18:00:00,Sarah Dias,12,6,3
330,2,2025-04-10,18:00:00,Heitor Teixeira,15,12,2
331,1,2025-07-08,18:00:00,João Pinto,15,10,4
332,3,2025-05-05,09:00:00,Maria Duarte,15,14,4
333,5,2025-04-24,10:00:00,Emanuella da Cunha,12,9,3
334,2,2025-05-11,17:00:00,João Pinto,15,5,3
335,1,2025-06-10,10:00:00,Heitor Costela,15,6,1
336,1,2025-05-04,16:00:00,Agatha Nunes,15,6,4
337,2,2025-04-29,15:00:00,João Pinto,15,15,3
338,3,2025-04-14,16:00:00,Otávio Nogueira,15,7,2
339,3,2025-04-22,09:00:00,Stella da Mata,15,14,4
340,3,2025-04-14,09:00:00,Heitor Costela,15,14,2
341,1,2025-04-20,17:00:00,Dra. Evelyn Gonçalves,15,6,4
342,1,2025-07-09,16:00:00,Alice Moreira,15,12,3
343,1,2025-07-22,16:00:00,Alice Moreira,15,12,2
344,2,2025-04-05,16:00:00,Maria Cecília Martins,15,7,5
345,4,2025-07-20,16:00:00,Thomas Azevedo,12,7,5
346,2,2025-07-15,07:00:00,Maria Cecília Martins,15,7,1
347,4,2025-05-11,08:00:00,Alice Moreira,12,8,1
348,3,2025-04-09,09:00:00,Otávio Nogueira,15,5,4
349,3,2025-07-07,10:00:00,Heitor Teixeira,15,5,2
350,5,2025-07-02,08:00:00,Dra. Evelyn Gonçalves,12,10,5
351,4,2025-07-22,07:00:00,Luiz Miguel Caldeira,12,9,3
352,3,2025-07-19,18:00:00,Ana Sophia da Costa,15,10,3
353,5,2025-05-11,10:00:00,Agatha Nunes,12,6,4
354,4,2025-05-12,16:00:00,Alice Moreira,12,5,3
355,3,2025-05-10,17:00:00,João Pinto,15,11,4
356,3,2025-04-09,18:00:00,Daniela Ferreira,15,15,3
357,2,2025-07-25,09:00:00,Maria Cecília Martins,15,14,2
358,2,2025-04-12,09:00:00,Agatha Nunes,15,5,1
359,1,2025-05-06,07:00:00,Maria Cecília Martins,15,11,2
360,4,2025-07-09,18:00:00,João Pinto,12,9,3
361,4,2025-07-26,17:00:00,Luiz Miguel Caldeira,12,7,1
362,4,2025-04-16,18:00:00,Sarah Dias,12,6,3
363,1,2025-07-26,15:00:00,João Pinto,15,11,2
364,4,2025-07-18,09:00:00,Stella da Mata,12,7,3
365,3,2025-06-21,10:00:00,Heitor Teixeira,15,13,2
366,1,2025-04-04,16:00:00,Alice Moreira,15,5,4
367,4,2025-05-01,17:00:00,Daniela Ferreira,12,6,2
368,1,2025-04-03,15:00:00,Stella da Mata,15,11,2
369,5,2025-07-08,16:00:00,Breno Cardoso,12,8,4
370,3,2025-04-29,17:00:00,Thomas Azevedo,15,9,4
371,5,2025-07-18,17:00:00,Joana Silveira,12,10,1
372,2,2025-07-18,08:00:00,Thomas Azevedo,15,15,1
373,2,2025-06-18,15:00:00,Alice Moreira,15,10,1
374,4,2025-07-07,09:00:00,Maria Cecília Martins,12,8,2
375,4,2025-04-22,08:00:00,Heitor Teixeira,12,10,5
376,2,2025-07-14,09:00:00,Heitor Costela,15,6,5
377,1,2025-04-23,15:00:00,Marcela Melo,15,11,1
378,2,2025-05-21,18:00:00,Lucca Martins,15,5,2
379,2,2025-05-15,08:00:00,Emanuella da Cunha,15,14,5
380,3,2025-05-09,08:00:00,Breno Cardoso,15,12,3
381,4,2025-05-31,16:00:00,Sarah Dias,12,5,2
382,2,2025-07-09,08:00:00,Marcela Melo,15,7,5
383,2,2025-06-20,09:00:00,Heitor Teixeira,15,13,2
384,1,2025-05-04,09:00:00,Luiz Miguel Caldeira,15,10,5
385,3,2025-07-14,09:00:00,Ana Sophia da Costa,15,13,1
386,1,2025-05-18,18:00:00,Heitor Teixeira,15,12,3
387,1,2025-06-10,18:00:00,Dra. Evelyn Gonçalves,15,13,1
388,5,2025-07-07,16:00:00,Heitor Teixeira,12,12,2
389,3,2025-07-17,09:00:00,Emanuella da Cunha,15,15,3
390,1,2025-04-01,17:00:00,Sarah Dias,15,7,5
391,5,2025-06-09,08:00:00,Luiz Miguel Caldeira,12,9,1
392,3,2025-07-14,10:00:00,Agatha Nunes,15,12,2
393,2,2025-07-10,16:00:00,Breno Cardoso,15,9,2
394,2,2025-06-26,17:00:00,Breno Cardoso,15,10,5
395,1,2025-07-03,16:00:00,Dra. Evelyn Gonçalves,15,7,1
396,3,2025-07-24,08:00:00,Lucca Martins,15,12,5
397,4,2025-06-23,16:00:00,Breno Cardoso,12,11,1
398,1,2025-07-06,08:00:00,Alice Moreira,15,13,3
399,2,2025-04-07,08:00:00,Lucca Martins,15,9,4
400,3,2025-06-27,15:00:00,Alice Moreira,15,7,1
401,4,2025-06-18,08:00:00,Emanuella da Cunha,12,8,4
402,1,2025-07-17,08:00:00,Stella da Mata,15,10,4
403,5,2025-07-05,16:00:00,Joana Silveira,12,10,5
404,4,2025-07-19,10:00:00,João Pinto,12,12,4
405,1,2025-04-09,17:00:00,Sarah Dias,15,9,1
406,3,2025-05-04,10:00:00,Otávio Nogueira,15,10,4
407,5,2025-05-24,08:00:00,Agatha Nunes,12,7,4
408,1,2025-05-25,17:00:00,Maria Cecília Martins,15,9,5
409,1,2025-06-20,07:00:00,Luiz Miguel Caldeira,15,13,5
410,1,2025-05-20,07:00:00,Breno Cardoso,15,14,3
411,3,2025-05-23,17:00:00,Breno Cardoso,15,14,3
412,5,2025-04-30,17:00:00,João Pinto,12,9,4
413,4,2025-05-08,08:00:00,Maria Cecília Martins,12,11,5
414,1,2025-06-05,09:00:00,Luiz Miguel Caldeira,15,8,1
415,3,2025-07-20,09:00:00,João Pinto,15,12,5
416,3,2025-07-11,10:00:00,Joana Silveira,15,7,1
417,4,2025-06-13,18:00:00,Breno Cardoso,12,9,5
418,2,2025-05-22,08:00:00,Joana Silveira,15,10,4
419,1,2025-07-08,09:00:00,Marcela Melo,15,10,5
420,1,2025-05-23,08:00:00,Breno Cardoso,15,9,5
421,4,2025-04-05,10:00:00,Thomas Azevedo,12,12,5
422,3,2025-07-22,10:00:00,Heitor Teixeira,15,13,1
423,4,2025-05-06,18:00:00,Lucca Martins,12,7,3
424,5,2025-06-30,08:00:00,Heitor Teixeira,12,11,4
425,5,2025-04-05,15:00:00,Joana Silveira,12,7,2
426,5,2025-04-28,08:00:00,Stella da Mata,12,7,2
